co2_rank;nace_id;nace_id_2_digit;nace_desc_2_digit;employees_rank;out_strength_rank;esri_ew_19;esri_ew_rank;esri_ow_19;esri_ow_rank;emission_employees_rank;emission_out_strength_rank;emission_esri_ew_rank;emission_esri_ow_rank;emission_esri_ew_esri_ow_arithmetic_rank;emission_esri_ew_esri_ow_geometric_rank;parent_id;parent_id_desc;color_parent_id;emissions_rel;emissions_rel_industry;emissions_rel_VS_ew_esri
69;9.1;9;;33;98;7.53675071911046e-05;30;0.0006963273816224;63;48;107;37;77;67;58;B;MINING AND QUARRYING;tab:pink;0.022353452423447613;0.066316426182331;296.5926996466446
92;35.11;35;Electricity, gas, steam and air conditioning supply;37;66;5.12807333271935e-05;21;0.0002502386692208;44;67;102;44;69;62;59;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.010995918240653081;0.03262180653348712;214.42591646446073
100;23.2;23;Manufacture of other non-metallic mineral products;75;16;0.0001584581411484;45;5.21685119678893e-05;21;95;23;72;46;61;60;C;MANUFACTURING;tab:cyan;0.008610494622320861;0.025544923450640307;54.339237857504074
62;17.12;17;Manufacture of paper and paper products;87;51;0.0003261629523915;56;0.0002790391481632;47;91;58;64;53;58;61;C;MANUFACTURING;tab:cyan;0.02845591544705353;0.08442072304749279;87.24447469710576
87;35.3;35;Electricity, gas, steam and air conditioning supply;50;39;0.0001256435902503;38;0.0001452650440877;36;75;64;62;59;59;62;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.012445486008722239;0.036922267691183244;99.05388714162856
32;23.32;23;Manufacture of other non-metallic mineral products;101;103;0.0009747945658622;80;0.0015835408200148;84;82;94;60;61;60;63;C;MANUFACTURING;tab:cyan;0.10950289447953687;0.3248643869833052;112.33433003669056
45;23.31;23;Manufacture of other non-metallic mineral products;88;79;0.0007900702163699;77;0.0009196552910002;70;81;85;67;63;63;64;C;MANUFACTURING;tab:cyan;0.05650210295966352;0.1676258981874569;71.51529293088808
59;35.11;35;Electricity, gas, steam and air conditioning supply;25;76;0.0003966947163047;62;0.00067966369968;62;33;92;65;68;65;65;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.03205345087144786;0.09509360202344525;80.80130527079595
6;20.14;20;Manufacture of chemicals and chemical products;102;116;0.0227262138240759;113;0.027349962124343;113;27;62;68;66;64;66;C;MANUFACTURING;tab:cyan;1.533769962596806;4.550265461389525;67.4890227853065
94;10.62;10;Manufacture of food products;69;38;0.0001753221858969;48;0.0001716339802283;40;92;72;71;65;66;67;C;MANUFACTURING;tab:cyan;0.010210606366302982;0.030292006377390514;58.239100283106396
46;35.11;35;Electricity, gas, steam and air conditioning supply;4;87;0.0005385980178436;70;0.0015208742797523;81;5;96;63;75;70;68;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.0529433675290612;0.1570681279148689;98.2984819384075
110;35.11;35;Electricity, gas, steam and air conditioning supply;36;32;5.8622631270821e-05;26;0.0001064571617172;29;85;79;66;71;69;69;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.004491487281362035;0.013324983501469547;76.61695123530971
99;35.3;35;Electricity, gas, steam and air conditioning supply;80;52;0.0001850862361593;49;0.0001522129265766;38;98;86;73;62;68;70;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.009468750484999922;0.028091127969062095;51.158587918176465
63;6.1;6;;65;102;0.0002507902818036;54;0.0011179998183292;74;73;106;61;84;75;71;B;MINING AND QUARRYING;tab:pink;0.02763335557866311;0.0819804185361663;110.18511315483693
22;20.14;20;Manufacture of chemicals and chemical products;73;73;0.0040385521170913;97;0.0061287281309339;101;31;34;69;72;71;72;C;MANUFACTURING;tab:cyan;0.24263653717815406;0.7198345786636994;60.08008071786603
44;22.11;22;Manufacture of rubber and plastic products;111;84;0.0016421769934048;87;0.0012346394641958;78;102;88;80;67;72;73;C;MANUFACTURING;tab:cyan;0.05936243850200985;0.1761117117994847;36.14862389402437
26;20.16;20;Manufacture of chemicals and chemical products;110;91;0.0050793231298802;100;0.0045543821259691;99;87;71;78;70;73;74;C;MANUFACTURING;tab:cyan;0.1975105923983052;0.5859585523027013;38.88521902385125
107;35.3;35;Electricity, gas, steam and air conditioning supply;64;41;0.0001308706724647;40;0.000150125664846;37;97;82;75;74;74;75;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.005700495087920786;0.016911770698306027;43.558231806735705
95;10.32;10;Manufacture of food products;70;75;0.0001718937055763;47;0.0004014062091914;54;94;104;70;81;78;76;C;MANUFACTURING;tab:cyan;0.010170254372759301;0.03017229332589148;59.165949902947084
43;21.2;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;105;100;0.0015708723629778;85;0.0017899993797382;88;96;100;79;76;76;77;C;MANUFACTURING;tab:cyan;0.06106653422935452;0.18116728605125162;38.874281366561625
51;23.99;23;Manufacture of other non-metallic mineral products;63;72;0.0009101144923033;79;0.0012195801757675;77;65;87;77;78;77;78;C;MANUFACTURING;tab:cyan;0.03813573789828194;0.11313804236285753;41.902132336964286
36;35.3;35;Electricity, gas, steam and air conditioning supply;95;58;0.0016578689537909;88;0.0029363040280823;94;78;49;74;82;79;79;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.07421352412583614;0.22017071909926425;44.76440912663135
114;35.3;35;Electricity, gas, steam and air conditioning supply;22;33;3.26990089681899e-05;17;5.6036430374286e-05;23;88;101;76;83;80;80;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.001403007775518756;0.004162330713658766;42.90673692537971
104;23.19;23;Manufacture of other non-metallic mineral products;99;26;0.0004008424194431;63;0.0001111322077087;30;110;60;92;64;82;81;C;MANUFACTURING;tab:cyan;0.006701534927754411;0.019881575245109022;16.718627078104696
96;20.14;20;Manufacture of chemicals and chemical products;16;53;0.0003599544461392;58;0.0003715012938098;51;42;84;83;79;81;82;C;MANUFACTURING;tab:cyan;0.010047646392376576;0.029808549823259794;27.91366102056979
116;20.14;20;Manufacture of chemicals and chemical products;44;2;5.40074810072441e-05;22;2.4819646113923e-05;14;107;12;90;73;83;83;C;MANUFACTURING;tab:cyan;0.0009498238480281843;0.0028178610583619083;17.586894080484573
88;17.12;17;Manufacture of paper and paper products;59;42;0.0003915474778227;61;0.0007226285806325;65;86;68;81;89;84;84;C;MANUFACTURING;tab:cyan;0.012291838033305915;0.03646643722585999;31.39296951076745
112;27.2;27;Manufacture of electrical equipment;76;1;0.0001705758070466;46;0.0001199619094175;31;104;3;88;80;85;85;C;MANUFACTURING;tab:cyan;0.0031257274998836002;0.00927315714304066;18.324565212402458
101;23.2;23;Manufacture of other non-metallic mineral products;51;34;0.0004648945624426;67;0.0003841150110684;52;83;65;87;86;86;86;C;MANUFACTURING;tab:cyan;0.008560830630267099;0.025397584310333798;18.41456390732489
103;29.32;29;Manufacture of motor vehicles, trailers and semi-trailers;96;59;0.0004508411923683;66;0.0003389250006621;50;105;99;91;85;87;87;C;MANUFACTURING;tab:cyan;0.007884158738534602;0.02339008852365767;17.48766277792535
56;20.14;20;Manufacture of chemicals and chemical products;42;55;0.0018176057391154;92;0.0015397573155994;82;50;59;89;87;88;88;C;MANUFACTURING;tab:cyan;0.033020346716744524;0.09796211091128752;18.16694677296464
66;23.42;23;Manufacture of other non-metallic mineral products;21;63;0.0012655330955315;81;0.001494721415447;80;29;81;86;90;89;89;C;MANUFACTURING;tab:cyan;0.024479692083249266;0.07262438312670323;19.34338356672392
24;10.62;10;Manufacture of food products;79;115;0.0114630589726022;107;0.0142520765305007;109;37;97;85;91;90;90;C;MANUFACTURING;tab:cyan;0.2219437244890041;0.6584448049853672;19.361649017026842
75;22.11;22;Manufacture of rubber and plastic products;104;114;0.0007082037854708;74;0.0019978040299596;89;103;112;82;99;93;91;C;MANUFACTURING;tab:cyan;0.020573308708270604;0.0610352388719697;29.049984101107103
19;35.3;35;Electricity, gas, steam and air conditioning supply;85;99;0.0182244415580906;111;0.0170454951972623;110;36;70;93;88;91;92;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.3026135675818292;0.897769612324477;16.604819775533056
109;35.3;35;Electricity, gas, steam and air conditioning supply;62;40;0.0001970722082217;50;0.0004036749965053;55;99;89;84;95;92;93;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.004623407260254838;0.0137163530929087;23.460473204083915
29;23.52;23;Manufacture of other non-metallic mineral products;32;60;0.0096268776348627;106;0.0110487595827934;106;22;28;94;92;94;94;C;MANUFACTURING;tab:cyan;0.1566588549345832;0.4647629007043318;16.27307013514538
93;17.11;17;Manufacture of paper and paper products;52;22;0.0006635390807826;72;0.0008989487369238;69;84;30;95;94;95;95;C;MANUFACTURING;tab:cyan;0.01050859031862555;0.031176041219229546;15.837183706242849
48;35.3;35;Electricity, gas, steam and air conditioning supply;57;71;0.0034735503482021;96;0.0044864337297911;98;53;77;96;98;96;96;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.050322039948473604;0.1492913839155662;14.487206144721682
81;24.42;24;Manufacture of basic metals;81;85;0.0014999260438005;84;0.0015702388980756;83;93;103;98;96;97;97;C;MANUFACTURING;tab:cyan;0.017872829140347338;0.05302367311780349;11.915806925427677
78;21.2;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;112;105;0.0019465140121963;93;0.0017805081650704;87;113;109;100;97;98;98;C;MANUFACTURING;tab:cyan;0.020148060776310275;0.05977364748309525;10.350842917167968
55;21.2;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;118;104;0.0040896857627058;98;0.0027690196011526;93;115;105;103;93;99;99;C;MANUFACTURING;tab:cyan;0.03376996259680598;0.10018601106028882;8.25734898870647
97;11.05;11;Manufacture of beverages;86;106;0.0006718517201498;73;0.0016295307939751;86;101;114;97;103;101;100;C;MANUFACTURING;tab:cyan;0.009715518445517048;0.028823219322460042;14.460807577229717
3;6.2;6;;116;119;0.28035513393058;119;0.321040575728763;119;44;95;101;100;100;101;B;MINING AND QUARRYING;tab:pink;2.601846879704499;7.718950221517491;9.28053944733095
27;23.52;23;Manufacture of other non-metallic mineral products;28;70;0.0186351233172103;112;0.0213093436800973;111;18;43;102;102;102;102;C;MANUFACTURING;tab:cyan;0.16630298139152297;0.49337432001260123;8.924168547783923
80;16.21;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";78;117;0.0015884139071666;86;0.0033471383167907;96;90;116;99;106;103;103;C;MANUFACTURING;tab:cyan;0.01804510111278382;0.053534755760741674;11.360452732986031
54;23.19;23;Manufacture of other non-metallic mineral products;114;69;0.005810023032712;103;0.0043690853458817;97;109;80;104;101;104;104;C;MANUFACTURING;tab:cyan;0.0350519143916937;0.10398920261945048;6.033007820165592
42;10.81;10;Manufacture of food products;74;88;0.0121779494520388;109;0.0109629444542289;105;61;91;105;104;105;105;C;MANUFACTURING;tab:cyan;0.061370726180683816;0.182069738285629;5.039495887413894
9;20.15;20;Manufacture of chemicals and chemical products;89;109;0.266357530526924;115;0.289330633234555;115;24;42;106;107;106;106;C;MANUFACTURING;tab:cyan;1.259618518461037;3.7369349895050794;4.729051647119516
91;10.13;10;Manufacture of food products;107;101;0.0030795248836144;95;0.0021439524261672;90;114;111;108;105;107;107;C;MANUFACTURING;tab:cyan;0.011632238138841898;0.034509589268664216;3.7772833727484882
67;10.92;10;Manufacture of food products;106;110;0.0092112770131545;105;0.0063813561208698;102;106;110;110;108;108;108;C;MANUFACTURING;tab:cyan;0.023335868266261075;0.06923097855151904;2.5334020714973002
65;29.1;29;Manufacture of motor vehicles, trailers and semi-trailers;109;118;0.0055145258848813;101;0.0131474788434375;108;108;115;107;111;109;109;C;MANUFACTURING;tab:cyan;0.024976332003786877;0.07409777452976828;4.529189367351114
77;29.1;29;Manufacture of motor vehicles, trailers and semi-trailers;117;28;0.005525635437564;102;0.0106013317663017;104;116;32;109;110;110;110;C;MANUFACTURING;tab:cyan;0.02029860475222324;0.06022026925214934;3.6735331133557314
108;10.84;10;Manufacture of food products;97;89;0.0028780546450112;94;0.0023429588892244;91;111;113;111;109;111;111;C;MANUFACTURING;tab:cyan;0.0054087191346049385;0.01604615324900531;1.8792968868677928
39;35.11;35;Electricity, gas, steam and air conditioning supply;103;50;0.0457591726649629;114;0.050424658684848;114;89;27;114;112;112;112;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.06956683686930609;0.20638530078433687;1.5202817887171365
115;35.11;35;Electricity, gas, steam and air conditioning supply;60;78;0.0007154558301106;75;0.0011636304765846;75;112;118;112;113;113;113;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.0011934878090419504;0.0035407437154906986;1.6681502320799497
118;16.21;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";54;95;0.0003026718937938;55;0.0007938476986164;68;117;119;113;118;116;114;C;MANUFACTURING;tab:cyan;0.0004764639237657722;0.0014135348773155324;1.5741928257480384
82;29.32;29;Manufacture of motor vehicles, trailers and semi-trailers;119;64;0.0130378883444381;110;0.0213584995135143;112;119;93;115;116;114;115;C;MANUFACTURING;tab:cyan;0.01557742150761256;0.04621384222676221;1.1947810179136726
21;49.5;49;Land transport and transport via pipelines;98;113;0.266372701037849;116;0.291189757764064;118;52;90;116;114;115;116;H;TRANSPORTATION AND STORAGE;tab:red;0.2509754318439309;0.7445737411907885;0.9421965196361083
23;20.11;20;Manufacture of chemicals and chemical products;84;108;0.267186261305102;117;0.290943244602464;117;41;83;117;115;117;117;C;MANUFACTURING;tab:cyan;0.2406732574922788;0.7140100782734579;0.9007695841720402
119;16.21;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";66;56;0.0004466129431721;65;0.0005063260121829;57;118;117;118;117;118;118;C;MANUFACTURING;tab:cyan;0.000353855943383049;0.0010497913746838482;0.7923100948883438
85;52.23;52;Warehousing and support activities for transportation;93;92;0.267331634438702;118;0.289611966307646;116;100;108;119;119;119;119;H;TRANSPORTATION AND STORAGE;tab:red;0.014742445641208697;0.0437367029303591;0.055146655846257796
